Pname,ExpirationDate,strength,DrugInteraction,AmountAvailable
Terazosin Hydrochloride,2021-10-07,10mg,Americaine,74
NP Thyroid 90,2021-05-04,15mg,Mucus Clear,879
Sepia,2021-01-01,200mg,Cyclease PMS,17
Venlafaxine,2021-05-28,50mg,Athletes Foot,445
Cepacol,2021-04-16,100mg,Propranolol Hydrochloride,638
SURG HP,2021-05-29,20mg,careone nicotine polacrilex,599
UltrasolSunscreen,2021-08-14,5mg,Acyclovir,104
Lisinopril,2020-12-20,500mg,Hand-Giene E-2,657
Methyldopa,2021-12-03,25mg,Iprivask,913
Zolpidem Tartrate,2021-12-02,20mg,Pink Grapefruit,986
NARS FOUNDATION,2021-10-22,100mg,Divalproex Sodium,880
Chamomila Cramp Relief,2021-11-25,5mg,Genuine Efficascent,73
MIDAZOLAM Hydrochloride,2021-07-24,5mg,Atorvastatin Calcium,96
Fluticasone Propionate,2021-01-25,5mg,Magnesium Sulfate,837
amoxicillin and clavulanate potassium,2021-05-27,25mg,Pentazocine and naloxone,27
Olanzapine and Fluoxetine,2021-11-01,50mg,Potassium Chloride,177
Prednisone,2021-08-16,500mg,Finasteride,493
Carbon Dioxide-Air Mixture,2021-11-09,10mg,Cucumber Melon Scented Hand Sanitizer,844
Carvedilol,2021-09-12,15mg,Mefloquine Hydrochloride,244
PUR-WASH,2021-06-29,5mg,Clobetasol Propionate,668
Cough,2021-08-25,10mg,Maximum Strength Menstrual Relief,952
Ketorolac Tromethamine,2021-05-21,200mg,Atenolol,921
Ondansetron,2021-11-04,200mg,Demeclocycline Hydrochloride,54
NIA 24 SPF 30,2021-11-29,15mg,Cold Spot,79
Up and Up aspirin,2021-08-05,20mg,Zencia Wash,775
Propranolol Hydrochloride,2021-01-06,15mg,Penicillin V Potassium,718
Bayberry,2021-07-13,50mg,ACHYRANTHES CALEA,478
Cyproheptadine Hydrochloride,2021-01-16,200mg,DIDANOSINE,154
Fexofenadine HCl,2021-08-03,25mg,Oxygen,144
Donepezil Hydrochloride,2021-02-10,20mg,Topical Anesthetic,687
CD DiorSkin Forever Compact Flawless Perfection Fusion Wear Makeup SPF 25 - 030,2021-07-19,20mg,Brimonidine Tartrate,735
Leader Nasal,2021-01-17,20mg,Ibuprofen,231
Alvesco,2021-09-02,50mg,Puritan,952
Azasan,2020-12-08,20mg,Primatene Mist Refill,405
Bupivilog Kit,2021-03-16,100mg,Hackberry,343
Rifampin,2021-01-15,100mg,Magnesium Sulfate,629
Lyrica,2020-12-31,200mg,Daily Moisturizing,961
Pain Reliever,2021-03-01,20mg,Bull Frog Insta-Cool Mist 50,84
Advanced Firming and Anti Wrinkle,2020-12-17,100mg,health mart allergy relief,218
Clindamycin hydrochloride,2021-01-27,10mg,Indomethacin,554
Cellisys EX Wrinkle Solution Eye Contour,2020-12-27,100mg,PIOGLITAZONEHYDROCHLORIDE,860
Rouge Dior 470 Pearly Pink Serum,2021-11-29,100mg,Acetaminophen,914
Adults Tussin DM,2021-01-13,200mg,OXYCODONE HYDROCHLORIDE,216
Suave Ocean Breeze,2021-10-20,50mg,Leucovorin Calcium,782
Anticavity,2021-09-20,5mg,Atenolol,354
Cepacol Sore Throat Maximum Numbing Sugar Free Cherry,2021-05-22,15mg,Hydrochlorothiazide,322
Hydrochlorothiazide,2021-01-31,20mg,H-Releve Hemorrhoidal,635
Glipizide,2021-05-17,10mg,Degree Nature Effects Honeysuckle and Tea Tree Oil,509
Lymesode,2021-07-18,50mg,Isopropyl Alcohol,856
MyntSmile,2021-06-11,5mg,Brush on Block Mineral Sunscreen Broad Spectrum SPF 30,604
WATERLESS HAND SANITIZER,2021-05-02,10mg,Neutrogena Body Clear,472
Chicken Feathers,2021-11-18,500mg,Idarubicin Hydrochloride,81
Escitalopram,2021-10-02,200mg,Meclofenamate Sodium,218
Diltiazem Hydrochloride,2021-07-24,25mg,Homeopathic Wart,103
Immunexx,2021-09-23,5mg,Levothyroxine Sodium,287
Senna and Docusate Sodium,2021-06-08,20mg,Kadian,801
METRONIDAZOLE,2021-05-02,25mg,Day Night Cold and Flu,730
Lavender Hand Sanitizer,2021-01-14,500mg,Ancient Secrets,141
Almay Sensitive Skin Antiperspirant - Deodorant,2021-08-13,100mg,Cotz Face (Natural Skin Tone) SPF 40,717
Conquest II,2021-01-10,10mg,Oxygen-Helium Mixture,856
Topcare Pain Relieving 40ct,2021-10-03,200mg,Antiperspirant Deodorant Roll-on,209
Strophanthus Nicotiana,2021-05-17,20mg,Jade,549
CALENDULA OFFICINALIS,2021-01-17,500mg,DOUBLE PERFECTION LUMIERE,360
Papaverine Hydrochloride,2021-11-20,200mg,Onopordon comp. mite,824
LIQUIMAT,2021-11-15,5mg,Envirokleen Non-Alcohol Instant Hand Sanitizer,420
Ibuprofen,2021-03-31,50mg,Clearasil Ultra Rapid Action,751
Glimepiride,2021-10-29,10mg,Pampers Kandoo,400
CLARINS Broad Spectrum SPF 15 Sunscreen Care For Outdoor Sports,2021-02-03,200mg,Fluconazole,916
Bread Cravings,2021-08-28,20mg,Cold-EEZE,488
Triamcinolone Acetonide,2021-10-27,50mg,ONDANSETRON,931
Pioglitazone,2021-11-02,50mg,Methimazole,153
Oxygen,2021-02-04,200mg,Mango papaya anti-bacterial SCENTED HAND SANITIZER,881
Delta Foremost Antibac,2021-03-17,500mg,Awaken by Quality Choice Ultra Clean Daily Face Wash,685
Hydroxyzine Pamoate,2021-08-10,10mg,Dramamine Orange,60
REYATAZ,2021-05-05,25mg,Naproxen,267
Kadian,2021-03-25,15mg,purelax,195
Synthroid,2021-06-04,15mg,Theophylline,133
Ibuprofen,2020-12-29,200mg,AVVA,589
Methylprednisolone,2020-12-30,500mg,Oxygen,571
Maximum Strength Medicated Foot Powder,2021-03-04,500mg,Lancome Teint Miracle,170
Secret Outlast and Olay Smooth,2021-02-14,25mg,Hydralazine Hydrochloride,634
Ivy-Dry Super,2021-07-18,10mg,Undecylenic Acid Liquid,970
Relief-PE,2021-07-26,200mg,Constipation,491
Gl. Supra Gl. Thyr Hypophysis 6 Special Order,2021-01-02,15mg,Softlips Praline Brownie,120
Nicotine,2021-06-04,5mg,day time cough,768
Demeclocycline Hydrochloride,2021-07-04,50mg,LOreal Paris Advanced Suncare Quick Dry Sheer Finish 50 Plus Broad Spectrum SPF 50 Plus Sunscreen,354
Pleo Cerivi,2021-05-18,25mg,Dronabinol,310
Antacid,2021-05-14,10mg,UNIVERSAL PURE PETROLEUM,327
Ampicillin,2021-11-03,200mg,Trazodone Hydrochloride,518
Anti Diarrheal,2021-04-21,50mg,Acetaminophen,632
Lisinopril and Hydrochlorothiazide,2021-03-14,20mg,Childrens Delsym,770
Midazolam Hydrochloride,2021-05-08,500mg,Theochem Foaming Hand Sanitizer,409
FOSINOPRIL Na,2021-07-04,20mg,FLUCAINE,963
Gold Bond Ultimate Healing Concentrated Therapy Cream,2021-11-29,20mg,Torsemide,442
"REPASKIN BODY LOTION, BROAD SPECTRUM SPF 30",2021-02-15,20mg,Isosorbide Dinitrate,574
Exelon,2021-01-24,25mg,EXTRA STRENGTH STOOL SOFTENER LAXATIVE,970
Cipro,2021-01-24,25mg,Oxygen-Helium Mixture,185
SHISEIDO THE MAKEUP FOUNDATION,2021-12-01,200mg,Clobetasol Propionate,968
Amcinonide,2021-04-26,500mg,Equate omeprazole delayed release,807
Cefuroxime axetil,2021-02-04,50mg,Hand Wash,209
PANTOPRAZOLE SODIUM,2021-10-08,50mg,"Insects (whole body) Cockroach, German Blatella germanica",101
Neobryxol Ultra,2021-07-27,100mg,Lexapro,840
701 DIEDA ZHENGTONG YAOGAO MEDICATED PLASTER,2021-05-16,50mg,Hydrocodone Bitartrate And Acetaminophen,491
Estradiol,2021-06-05,100mg,SEPHORA Skin Perfect CC Sunscreen Broad Spectrum SPF 20 FAIR,934
After Shave Broad Spectrum SPF 15,2021-01-21,200mg,Lorazepam,207
Ibuprofen,2021-02-24,10mg,Haddock,999
Benztropine Mesylate,2021-09-13,10mg,smart sense pain relief,128
NO-AD Kids SPF50 Continuous Mist Sunscreen,2021-04-17,200mg,Acid Reducer,374
Pepcid AC,2021-03-11,500mg,STOOL SOFTENER,628
rx act nasal,2021-01-12,25mg,Captopril,663
Nisoldipine,2021-09-13,15mg,Citalopram,384
Orajel Instant Pain Relief,2021-09-13,15mg,Rivastigmine Tartrate,514
AVANDARYL,2020-12-10,25mg,Mulberry Mixture,384
"REPASKIN FACIAL, BROAD SPECTRUM SPF 30",2021-11-01,25mg,FazaClo,290
Kleenex Instant Hand Sanitizer,2021-03-13,100mg,TRAMADOL HYDROCHLORIDE,913
Sensorcaine,2021-10-11,50mg,Promethazine Hydrochloride,825
Levofloxacin,2020-12-05,15mg,Mucinex Sinus-Max,133
ARTEMIS Alcohol-Free Antiseptic Foam Hand,2021-07-09,10mg,Chopper Chap Lip Balm,993
Ibuprofen,2021-11-24,20mg,Warts - Moles - Skin Tags,230
Arrid XX Extra Extra Dry,2020-12-24,20mg,Isosulfan Blue,639
Dexamethasone sodium phosphate,2021-01-20,20mg,Skin Delight Mask Pack Plus,375
"Molds, Rusts and Smuts, Phoma herbarum",2021-05-01,15mg,FEMCON Fe,297
PYtest,2021-04-01,20mg,Adrenal Tincture,33
FORTAZ,2021-07-13,200mg,LBEL divine lip gloss SPF 15,153
Simvastatin,2021-07-31,15mg,Topiramate,588
Rifampin,2020-12-14,50mg,Doxycycline Hyclate,372
Menthol and Methyl Salicylate,2021-11-21,500mg,Handful Sanitizer,613
Qsymia,2021-09-08,50mg,BullFrog Super Block,990
Red Kidney Beans,2021-05-04,200mg,Laura mercier Tinted Moisturizer SPF-20 Fawn,932
Gelato APF,2021-02-10,20mg,Benazepril Hydrochloride,333
Lorazepam,2021-08-28,25mg,Risperidone,76
Doxycycline Hyclate,2021-05-10,20mg,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",130
Adalat CC,2021-04-03,15mg,LETROZOLE,89
Baclofen,2021-02-21,20mg,Ohtas Isan Antacid,652
LidoCream 5,2021-02-15,50mg,smart sense sore throat,176
Stressa Back and Neck Pain Relieving,2021-11-04,100mg,BC,461
Daytime,2021-01-19,10mg,Multi Vitamin Drops with Fluoride,383
G.M. Collin Complex Acne,2021-08-11,5mg,Epi-Clenz Pure Instant Hand Antiseptic,965
Tirosint,2021-12-03,500mg,WELLBUTRIN XL,294
no drip,2021-11-09,20mg,Testosterone Cypionate,611
Nevirapine,2021-04-13,15mg,Inspra,115
WHITE FLOWER STRAIN RELIEF,2021-07-20,20mg,Thermazene,950
promethazine hydrochloride,2021-04-27,5mg,Medi-First Sinus Decongestant,48
Moisture Therapy,2021-06-02,50mg,UNDECYLENIC ACID,912
SOLAR SENSE CLEAR ZINC SUNSCREEN BROAD SPECTRUM SPF 50 Plus,2021-04-09,100mg,Azithromycin,984
Hand Sanitizer,2021-03-02,500mg,Sulfamethoxazole and Trimethoprim,288
Atenolol,2021-07-26,10mg,Lortab,897
METHOCARBAMOL,2021-01-04,500mg,ELOCON,897
Omeprazole,2021-04-15,10mg,SuperPlus Beblesh Balm SPF25 PA 2Plus,91
METHADONE HYDROCHLORIDE,2020-12-20,10mg,Cell Salts,737
Orajel Antiseptic Rinse for Mouth Sores,2021-02-27,500mg,omeprazole,693
BIDEX-400,2020-12-12,5mg,Cyclobenzaprine Hydrochloride,937
amlodipine besylate and atorvastatin calcium,2021-02-09,200mg,Divalproex Sodium,740
Justice Grape Scent ANTI BAC HAND SANITIZER,2021-08-24,15mg,Major Prep Hemorrhoidal,700
Sterillium Comfort,2021-11-06,200mg,RANITIDINE,724
Sesame,2021-10-14,50mg,IMOGAM RABIES-HT,534
Levetiracetam,2021-08-30,200mg,Topex,671
Oxycodone Hydrochloride,2021-09-16,200mg,Head and Shoulders Conditioner,483
Estradiol,2021-05-30,25mg,Serotonin,143
HARMON Extra Strength Pain Relieving Roll-On,2021-08-19,20mg,Antibacterial Hand - Strawberry Pomegranate Scent,80
XtraCare Antibacterial Hand Cleanse,2021-02-09,50mg,NU-DERM SUN SHIELD SPF 50 SUNSCREEN,889
CROMOLYN SODIUM,2021-01-03,100mg,Octreotide Acetate,696
ADVANCED CELL BOOSTING EX EYE,2021-03-19,10mg,napoleon PERDIS FOUNDATION STICK BROAD SPECTRUM SPF 15 Look 4,298
Antimicrobial Hand Sanitizer,2021-02-03,15mg,Cilostazol,954
Tru-micin,2021-01-25,25mg,Candida albicans,332
SACCHAROMYCES CEREVISIAE,2020-12-08,20mg,Glipizide,744
LABORATOIRE REMEDE TRANSLUCENT UV COAT TINT 2,2021-07-14,25mg,HYDRALAZINE HYDROCHLORIDE,142
preferred plus cough dm,2021-03-24,500mg,Ropinirole Hydrochloride,681
Amlodipine Besylate and Benazepril HCL,2021-05-06,200mg,Citalopram Hydrobromide,433
Venoforce,2021-03-03,500mg,Zaleplon,151
Betamethasone Valerate,2020-12-19,5mg,Venlafaxine Hydrochloride,946
Nite Aid Sleep Aid,2021-10-21,20mg,Wormwood,978
LBEL UV DEFENSE 365,2021-09-02,50mg,Gabapentin,136
MEPROBAMATE,2021-02-19,200mg,Holiday EleganceFrosted GingerbreFrosted Gingerbre,226
Chorionic Gonadotropin,2021-05-17,20mg,Lamivudine,120
Walgreens Aloe Vera,2021-06-14,50mg,Torsemide,681
Up and Up dual action acid controller complete,2021-09-24,10mg,Vaccines Detox,177
Flunisolide,2021-12-03,200mg,Heparin Sodium in Sodium Chloride,189
Metoprolol Succinate,2021-09-30,50mg,Amoxicillin and Clavulanate Potassium,226
Contact Allergy,2021-08-25,200mg,ARIZONA CYPRESS POLLEN,996
Monistat 3 Combination Pack,2021-10-27,10mg,Amoxicillin and Clavulanate Potassium,662
Renvela,2021-04-02,100mg,Perfect Purity Vaporizing Chest Rub,199
Bowel - Digestive Care,2021-06-28,15mg,Broncotron,799
CALCIUM SULPHATE,2021-01-10,25mg,Povidone-Iodine,542
Ondansetron Hydrochloride,2021-07-16,200mg,Desert Bambu,643
Rizatriptan Benzoate,2021-02-23,15mg,Red Mulberry,193
OXYCODONE HYDROCHLORIDE,2021-01-28,25mg,Lilium Viscum,902
Ciprofloxacin hydrochloride,2021-04-08,15mg,Amoxicillin,256
Sephora 8hr Mattifying Moisturizer Sunscreen Broad Spectrum SPF 20,2021-01-29,200mg,AMITRIPTYLINE HYDROCHLORIDE,780
OXYCODONE HYDROCHLORIDE,2021-09-01,100mg,Dry Eye Therapy,47
Calcitriol,2021-03-07,100mg,Methocarbamol,745
Perindopril Erbumine,2021-03-04,200mg,enema,432
SIMPONI ARIA,2021-02-12,100mg,Good Sense Mucus Relief,888
Arnica,2021-10-10,20mg,Cucumber Melon Scented Hand Sanitizer,847
CYCLOPHOSPHAMIDE,2021-11-02,10mg,Helium,374
ACETAMINOPHEN (RED),2021-05-18,25mg,Hevert Pain Relief,852
Sulfamethoxazole and Trimethoprim,2021-03-05,15mg,ClearCalm 3 Anti-Acne Starter,462
Trexall,2021-10-01,15mg,TOPIRAMATE,945
Penicillin V Potassium,2021-07-16,10mg,NEO-POLYCIN,155
Tizanidine,2021-06-18,100mg,"Standardized Mite, Dermatophagoides pteronyssinus",470
Metronidazole,2021-10-03,10mg,Dobutamine Hydrochloride in Dextrose,941
Zolpidem Tartrate,2021-06-20,15mg,Tucks Hemorrhoidal,635
Ranitidine,2021-03-08,100mg,BABOR Selection Ultimate Care,398
Bupropion hydrochloride,2021-03-19,100mg,Valproic Acid,51
ROBITUSSIN LINGERING COLD LONG-ACTING COUGH,2021-03-05,100mg,FazaClo,798
"SODIUM SULFACETAMIDE, SULFUR",2021-09-18,15mg,Warfarin Sodium,252
Lovastatin,2021-11-10,500mg,"Cat Pelt, Standardized",24
CEFAZOLIN,2021-03-15,20mg,Mary Kay Tinted Lip Balm Sunscreen SPF 15 Rose,923
LBEL COULEUR LUXE AMPLIFIER XP,2021-02-16,5mg,"Pollens - Trees, Ash, White Fraxinus americana",496
Cyclobenzaprine Hydrochloride,2021-01-04,200mg,4 in 1 Pressed Mineral SPF 15 Light,212
Childrens Wal-Dryl Allergy,2021-11-28,15mg,HYDROCORTISONE,601
RISPERDAL,2021-01-19,50mg,Multi Vitamin Infusion Adult,629
GOODSENSE ARTIFICIAL TEARS,2021-01-11,50mg,Cefoxitin,308
Hydroxyzine Hydrochloride,2021-03-17,200mg,Gadopentetate dimeglumine,580
Sulindac,2021-06-18,100mg,Neutrogena Rapid Clear,284
Australian Gold,2020-12-13,500mg,SEAWEED MEDICLEAR HEALER AMPOULE,505
Birch,2021-10-04,25mg,Value Pharma,829
Amazonian Clay 12-Hour Full Coverage Foundation Broad Spectrum SPF 15 Sunscreen,2021-11-26,20mg,Naproxen Sodium,339
DOCUSATE SODIUM 50 MG,2021-05-27,50mg,Eucalyptus,199
Hormodendrum,2021-03-11,200mg,Sun Mark allergy relief,435
Hongo Cura,2021-09-16,20mg,Acyclovir,654
Valacyclovir,2021-04-22,10mg,Ceravine Lip Balm,584
Oat Grain,2021-04-06,25mg,Divalproex Sodium,343
Lamotrigine,2021-11-05,10mg,First Aid Antiseptic,479
Testosterone,2020-12-21,25mg,Panrosa FRESH CLEAN Pyrithione Zinc Dandruff,798
Appeal Alcohol Foaming Hand Sanitizer,2021-03-20,100mg,Melatonin,714
Sodium Phosphates,2021-07-08,500mg,Rough Pigweed,501
Arizona Ash,2021-01-02,50mg,ENALAPRIL MALEATE,802
MSM (MoSaengMo),2021-06-03,500mg,Levetiracetam,568
HepaGam B,2021-04-26,10mg,Lisinopril,897
Amlodipine Besylate,2021-06-18,100mg,Chicken Feathers,563
DDAVP,2021-01-04,50mg,Wal-Sleep Z,759
equaline hair regrowth treatment for men,2021-07-04,15mg,Valsartan and Hydrochlorothiazide,186
Maybelline New York,2021-11-15,100mg,La Roche Posay Laboratoire Dermatologique,55
Dopram,2021-11-23,100mg,Miconazole Nitrate,60
STOOL SOFTENER,2021-04-20,500mg,Lombardy Poplar,509
Amlodipine besylate and Atorvastatin calcium,2021-01-25,15mg,Mestinon,606
LABETALOL HYDROCHLORIDE,2021-04-10,200mg,Amlodipine and Atorvastatin,402
Rx Act all day pain relief,2021-03-30,100mg,Albuterol Sulfate,252
ciclopirox olamine,2021-05-29,25mg,Acetaminophen and Diphenhydramine HCl,758
Benazepril Hydrochloride,2021-11-24,500mg,Enpresse,769
Propoxyphene Napsylate and Acetaminophen,2021-05-23,200mg,Rx Act Pain Relief,268
Xyzal,2021-08-14,10mg,Theophylline,518
Rocky Mountain Sunscreen,2021-08-12,5mg,Tranexamic Acid,435
BANDAGE,2021-05-13,200mg,Addamel N,776
SKIN ERUPTIONS 7,2021-01-22,100mg,equate,121
Doxazosin,2021-03-06,500mg,CD DIOR PRESTIGE WHITE COLLECTION SATIN BRIGHTENING UVB BASE WITH SUNSCREEN SPF 50,290
ANTIBACTERIAL,2021-09-27,20mg,Maxixum Security Gel Toothpaste,11
HYDROXYZINE PAMOATE,2021-10-09,200mg,Cetirizine Hydrochloride,191
Renal Caps,2021-10-12,10mg,Glyburide,397
Thiothixene,2021-08-12,100mg,clindamycin phosphate,130
Hand Sanitizer,2021-11-18,200mg,Acetaminophen and Codeine Phosphate,703
sunmark headache relief,2021-04-23,25mg,70% Isopropyl Alcohol,761
Olanzapine,2021-09-26,25mg,Candesartan Cilexetil-Hydrochlorothiazide,636
Sertraline Hydrochloride,2021-09-28,100mg,COREG,760
Benazepril Hydrochloride,2021-05-15,100mg,ALPRAZOLAM,288
PERTZYE,2021-01-03,25mg,Psorinum Complex,856
Alba Mineral Terra Tint SPF15 Garnet,2021-08-19,25mg,Cephalexin,192
Doxycycline Hyclate,2021-11-07,5mg,XELJANZ,480
Labetalol Hydrochloride,2021-03-14,5mg,Borago Nicotiana,983
arthritis pain relief,2021-04-10,15mg,Aroma A1 Skin,86
Alprazolam,2020-12-16,50mg,Budesonide Inhalation,368
Hydrocodone Bitartrate and Acetaminophen,2020-12-28,20mg,Simply Beige Perfecting makeup SPF 25,95
Smart Sense Cold Remedy,2021-01-15,10mg,Hand Sanitizer,946
Hydrogen Peroxide,2021-10-09,50mg,Bisacodyl,263
ciprofloxacin,2020-12-26,15mg,Guaifenesin and Codeine Phosphate,841
24 HOUR HIGH PERFORMANCE ANTIPERSPIRANT,2020-12-14,100mg,Quack Grass,555
Low Dose Aspirin,2021-08-08,100mg,GEODON,46
infants acetaminophen,2021-01-27,500mg,Castellani Paint,556
XIFAXAN,2021-02-27,500mg,AMOREPACIFIC,865
CAPITAL AND CODEINE,2021-11-13,15mg,Leader Childrens Cold and Cough,382
Vagisil Medicated Wipes,2021-10-07,15mg,ZANTAC,711
Ambien CR,2021-01-13,100mg,1014 Foaming Antimicrobial,380
Ranitidine Hydrochloride,2021-03-25,10mg,aspirin,27
Aricept,2020-12-11,25mg,Maracuja Miracle Foundation 12-Hour Foundation Broad Spectrum SPF 15 Sunscreen,774
Balsalazide Disodium,2021-04-29,15mg,Ropivacaine HCl,443
Childrens Mapap,2021-03-22,500mg,Diclofenac Sodium,819
Natria,2021-05-02,15mg,ibuprofen,183
Trileptal,2021-03-28,500mg,METOPROLOL SUCCINATE,961
Ery-Ped,2021-06-07,200mg,Amoxicillin and Clavulanate Potassium,859
antifungal,2021-02-21,25mg,Ibuprofen,995
SENSAI CONCEALER (BRUSH TYPE),2021-05-12,200mg,good sense aspirin,536
ONE SEED JUNIPER POLLEN,2021-04-24,20mg,ZYPREXA,99
Good Neighbor Pharmacy ibuprofen,2021-02-25,50mg,Perfect Choice,381
Vicks VapoRub,2021-05-24,100mg,CANIS LUPUS FAMILIARIS SKIN,743
Plavix,2021-10-29,10mg,One Seed Juniper,208
Johnson Grass,2021-01-13,500mg,Fiber Lax,317
Androgel,2021-08-17,15mg,PHENDIMETRAZINE TARTRATE,297
"Acetaminophen, Diphenhydramine Hydrochloride, Phenylephrine Hydrochloride",2021-02-18,200mg,CVS Medicated Heat 1 ct,137
Medium Skin Defense Concealer Broad Spectrum SPF 15,2021-02-06,5mg,Glyburide,756
Alprazolam,2021-04-29,20mg,Carbamazepine,107
Metronidazole,2021-03-01,500mg,"Dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate and amphetamine sulfate",359
Treatment Set TS329750,2021-11-01,15mg,Penicillium notatum,545
Zubsolv,2021-01-28,20mg,Citalopram,396
Primidone,2021-08-24,25mg,Nystatin,477
Colirio Ocusan,2021-04-10,500mg,Lisinopril 2.5mg,262
Symbyax,2021-10-08,50mg,Cevimeline Hydrochloride,683
Complete Allergy Medicine,2021-08-27,10mg,SHISEIDO PURENESS MATIFYING COMPACT OIL-FREE (REFILL),143
"SODIUM SULFACETAMIDE, SULFUR",2021-04-26,200mg,Sulwhasoo Lumitouch,174
Omeprazole,2021-10-31,50mg,LOreal Paris Advanced Suncare Invisible Protect Sheer 30 Broad Spectrum SPF 30 Sunscreen,136
zinc oxide,2021-03-04,100mg,Novolin,315
LOESTRIN Fe 1/20,2021-06-03,15mg,FENOFIBRATE,617
Venlafaxine,2021-02-07,500mg,Natralia Cramp Relief,344
Promethazine Hydrochloride,2021-05-02,100mg,Olanzapine,783
Byetta,2021-01-17,25mg,Metoprolol succinate,223
Trospium Chloride,2021-07-09,50mg,Sinus Tonic,611
Citalopram Hydrobromide,2021-08-23,25mg,Scott-Vincent Borba,276
Garnier,2021-09-07,50mg,Heparin Sodium and Sodium Chloride,228
Amoxicillin and Clavulanate Potassium,2021-04-09,15mg,Doxazosin,467
INDUSTRIAL ANTISEPTIC SANITIZER,2021-03-03,25mg,Smart San Hand Sanitizer Spray,600
Propranolol Hydrochloride,2021-07-17,25mg,METHYLPHENIDATE HYDROCHLORIDE,217
Piroxicam,2021-11-04,10mg,phendimetrazine tartrate,23
good sense milk of magnesia,2021-04-08,100mg,Sepia Kit Refill,505
Heparin Sodium,2021-08-01,5mg,Secale Nicotiana,243
Desloratadine,2021-09-11,50mg,Hoarse Cough,859
Carbon Dioxide,2021-01-07,500mg,Childrens Allergy,495
Acetaminophen Oral Solution,2021-09-20,100mg,Lidocaine Hydrochloride,490
Meclizine Hydrochloride,2021-10-31,200mg,Ondansetron,285
Fungal Infection,2020-12-27,25mg,Mirtazapine,470
Rite Aid Renewal Gold Deodorant,2021-09-03,5mg,Potassium Chloride,780
ADVANCED HYDRO-LIQUID COMPACT (REFILL),2021-02-21,200mg,Meprobamate,527
Shopko,2021-01-27,100mg,Lovastatin,829
Moisturizing Antibacterial,2021-03-09,100mg,Venlafaxine Hydrochloride,617
Fentanyl,2021-11-21,200mg,Doxycycline Hyclate,664
"Rite Aid Anti-Cavity, Anti-Gingivitis",2021-10-12,25mg,fexofenadine hydrochloride,472
Pyridostigmine Bromide,2021-11-22,10mg,Lyrica,259
Apizelen,2021-03-23,20mg,Nortriptyline Hydrochloride,142
Ear Care,2021-01-18,50mg,Sodium Chloride,17
Anti-bacterial Lemon Drop Hand,2021-10-22,15mg,Risperidone,241
Donatussin,2021-08-22,100mg,Ecolab,929
Eczema Rescue,2021-03-16,100mg,Walgreens Artificial Tears Lubricant Eye Drops,986
PERCOCET,2021-11-13,200mg,nighttime cold and flu relief,979
SEUK,2021-09-19,500mg,CITALOPRAM HYDROBROMIDE,901
Gemfibrozil,2021-10-17,25mg,Diphenhydramine HCl,194
Lobster,2021-05-27,20mg,Silica Skin Support,48
Melaleuca,2021-11-12,20mg,White petrolatum,164
Penicillin V Potassium,2021-06-13,10mg,ibuprofen,870
clobetasol propionate,2021-04-23,100mg,Antibacterial Liquid Hand,903
Pamidronate Disodium,2021-02-12,50mg,Lysol,296
Famotidine,2021-07-20,15mg,LARIN Fe 1/20,451
Ropinirole Hydrochloride,2021-08-20,500mg,EBSS-5,858
L OCCITANE SUBLIME BEAUTY BB LIGHT SPF 30 Broad Spectrum Sunscreen,2021-03-28,20mg,Act Total Care Anticavity Fluoride Fresh Mint,114
Meijer Oil Free SPF 15,2021-06-01,100mg,Cephalexin,384
MARCS,2021-08-29,25mg,AMARANTHUS RETROFLEXUS POLLEN,337
Ketorolac Tromethamine,2020-12-06,10mg,GUNA-INF GAMMA,777
CLE DE PEAU BEAUTE FOUNDATION I,2021-01-25,5mg,RUTA GRAV,595
Lovastatin,2021-05-16,100mg,Cefuroxime Axetil,403
Metformin Hydrochloride,2020-12-28,20mg,Fusarium oxysporum,962
Dipyridamole,2021-06-07,100mg,"bacitracin zinc, neomycin sulfate and polymyxin b sulfate",138
Warfarin Sodium,2021-08-08,5mg,INFANTS TEETHING,294
Risperidone,2021-06-22,100mg,Sodium Acetate,374
"Pollens - Weeds, Weed mix 2630",2021-06-05,200mg,Dover Aminophen,124
Cenestin,2021-01-16,50mg,Lisinopril and Hydrochlorothiazide,608
Citrus and Olive Antibacterial Foaming Hand Wash,2021-07-19,200mg,Mucus Relief DM,478
Coppertone Clearly Sheer For Beach and Pool,2021-03-13,5mg,AXIRON,917
Lovenox,2021-12-03,15mg,Dicyclomine Hydrochloride,978
DIGOX,2021-11-06,15mg,Rabbit Hair,618
Dicyclomine Hydrochloride,2021-01-04,500mg,Tekturna,867
Clonazepam,2020-12-10,25mg,Nabumetone,832
Sumavel DosePro,2021-11-09,500mg,Granisetron,574
Amantadine Hydrochloride,2020-12-14,15mg,Frosted Berry Hand Sanitizer,579
Phendimetrazine Tartrate,2021-01-03,5mg,Modafinil,46
Neo,2020-12-27,10mg,HealthCare,40
Nafcillin,2020-12-17,200mg,Oxygen,977
Phentermine Hydrochloride,2021-02-01,15mg,Allergy,937
Allopurinol,2021-10-03,100mg,VP-HEME OB,561
chlorpromazine hydrochloride,2021-07-17,200mg,Good Sense Stomach Relief,876
Calendula,2021-09-11,200mg,Pramosone,989
Levothyroxine sodium,2021-06-26,5mg,Rituxan,801
